id,label,score,title,year,is_animal,is_creature
280002,uncertain,0.237,The Remaining,2014,False,False
294307,uncertain,0.313,The Last Hit,1993,False,False
299460,uncertain,0.212,The Mother  Tree,1958,False,False
324153,uncertain,0.271,The Shadow Laughs,1933,False,False
324621,uncertain,0.299,The Return,1980,False,False
325622,uncertain,0.2,The Hound of the Baskervilles,1921,False,False
340758,skeleton,0.503,Never Mention Murder,1965,False,True
361975,uncertain,0.296,The Hoop of Bermuda,1988,False,False
382290,doll,0.823,M・Y・F・A・C・E,2005,False,True
440871,uncertain,0.189,Ghost Valley Raiders,1940,False,False
444713,none,0.539,Commando 2 - The Black Money Trail,2017,False,False
453424,uncertain,0.446,Dr. Masher,1969,False,False
459420,uncertain,0.405,The Four Just Men,1921,False,False
482337,uncertain,0.32,Benaam,1999,False,False
483586,uncertain,0.353,Rites of Blood,2004,False,False
510733,uncertain,0.417,The Ghost Breaker,1922,False,False
517574,shark,0.932,Doombeach,1989,True,True
535249,uncertain,0.29,Our Correspondent,1959,False,False
539980,uncertain,0.365,Maigret at the Minister,1987,False,False
547231,uncertain,0.314,Pizza Hunt,2003,False,False
548084,uncertain,0.344,The Perfect Murder,1992,False,False
630737,uncertain,0.239,2099: The Soldier Protocol,2019,False,False
633786,uncertain,0.246,Faulty Father,2019,False,False
651517,snake,0.609,Riverdead,2007,True,True
668985,uncertain,0.184,Who Killed Eve?,1934,False,False
747083,uncertain,0.42,Noite de Lamentações (Night of Wails),2020,False,False
752825,demon,0.935,The Demon,1970,False,True
752851,uncertain,0.243,Case of a Young Lord 7: Red Crane House,1958,False,False
781001,uncertain,0.235,That,2012,False,False
789473,uncertain,0.247,The Mysterious Mr. Hyde,1964,False,False
795813,none,0.633,I'm Your Man,2021,False,False
872243,uncertain,0.361,Darkman,1992,False,False
921652,uncertain,0.275,Body of Ashes,2022,False,False
929912,uncertain,0.278,Droga Digitale,2022,False,False
938049,uncertain,0.416,Donor,2021,False,False
990167,uncertain,0.334,Dead Pigeon on Beethoven Street,1972,False,False
1013699,uncertain,0.18,The Shining Pyramid,1979,False,False
1068455,uncertain,0.282,All That You Love Will Be Carried Away,2019,False,False
1075682,uncertain,0.315,Three Silhouettes in Black,1985,False,False
1114351,uncertain,0.239,Actual Record! Real Horror Posted Video 31,2016,False,False
1156131,uncertain,0.289,두번째 상봉,1967,False,False
1225036,uncertain,0.488,Ha Khel Savlyancha,1976,False,False
1487521,uncertain,0.495,Conserva,2025,False,False
1494221,witch,0.839,Sticks and Stones: Investigating the Blair Witch,1999,False,True
1577810,uncertain,0.479,Pandora's Box,2025,False,False
1615804,uncertain,0.169,The Big Scoop: Challenge at Twilight,1959,False,False
1634691,none,0.791,Little Signs,2026,False,False
1638974,uncertain,0.268,Fools in the Dark,1924,False,False
1700685,uncertain,0.311,This is Not an Exit,2025,False,False
