id,title,poster_path,human_verdict
440871,"Ghost Valley Raiders",/saSeGf163y3lYB7Q51k1aLkDFMK.jpg,si
789473,"The Mysterious Mr. Hyde",/zB5cW1fWAVid1DCYaxXlCB2SW2Y.jpg,no
69351,"Beauty and the Beast",/cxuVTJMQinZuLcglEUVtyUrQMsQ.jpg,si
214905,"Below the Deadline",/uQq5grAi7HHW0KDGDJXJFxIx1Zx.jpg,no_seguro
224473,"The Sweet Sound of Death",/lmBwq2PlJntTw6FsV7JVzOyPbPw.jpg,no
32849,"Abandoned",/nJlvfBywxqwogkKy72yeg5iiKTQ.jpg,no
1013699,"The Shining Pyramid",/g8IlNYICgmLNZvb2Bl6FnZT3lpa.jpg,no
77067,"DeadHeads",/uDhZDedBv9eRDkuJSTbM77EmHI1.jpg,si
482337,"Benaam",/9e8FRv6cRiDNTmEO8uupDt7NBzA.jpg,no
630737,"2099: The Soldier Protocol",/1P6SoZCSKrJp8sxooCbShwN2wpL.jpg,no
668985,"Who Killed Eve?",/rqJLbhnTv7CoQyEr9IZZn7BniOV.jpg,no
1075682,"Three Silhouettes in Black",/8JycgJnpn2ntq6aMQ7lLOGqP9Q7.jpg,si
1487521,"Conserva",/xjJDKdSxoiZyHIBgMRJLWa389zr.jpg,no
14594,"The Thin Man Goes Home",/xKnTU1LOeRU8AubY2LO5lGRiPpv.jpg,no
1634691,"Little Signs",/gkbdODtAmZUIFUs3PZu5gn9wlMj.jpg,no
19971,"The Little Girl Who Lives Down the Lane",/qlH7atDoN2iOmq6pNsoFIlebhgA.jpg,no
294307,"The Last Hit",/kKd2N6cVD1MPubGhB8MRXhcuNT8.jpg,si
213215,"The Returning",/fX5tOZShILODrIFSy7Q6TlRi9Gv.jpg,no
80342,"Lady Dragon 2",/jLfgHVaGAwwxuvB7Pacpknn1cUY.jpg,no
938049,"Donor",/8QGePlrv8U5FQawEWjlGrEIyOtY.jpg,no
36778,"Spellbinder",/lthWQAcAmcJ3InuauNuCMgqEVHX.jpg,no
19131,"Scotland Yard Hunts Dr. Mabuse",/ihElzqxw0fFdnuNRxX3yGOPSqN8.jpg,no
33546,"The Time of Their Lives",/wFO5tIivUKS9PU9feLIm8G1oHaK.jpg,no
81829,"Bulldog Drummond",/7pN3nEDQBfQRjrtgOwJ3WBBm23F.jpg,no
24008,"Monkey Business",/cVYh7b1fLy9zzpZLX2aVNF5U12C.jpg,no
54539,"The Inhuman Woman",/uOr8W7pos3WOTcHBrUKnzkGJdGp.jpg,no
361975,"The Hoop of Bermuda",/wEKigxXYPYfk0ovM8JFBr2pbCFC.jpg,no
44169,"The Falcon in Danger",/tYO1a5ZXLNosJ1iN0W84kSMn1Hg.jpg,no
299460,"The Mother  Tree",/cG5uXkEL2c3FPopAwHlPJa2yxCk.jpg,no_seguro
